ISO Code,Countries and areas,InternationalMigrantsByCountryOfDestination_Total(thousands),InternationalMigrantsByCountryOfDestination_AsPercentageOfTotalPopulationOfCountry/Area(%),InternationalMigrantsByCountryOfDestination_ShareOfUnder18AmongTotalInternationalMigrants(%),InternationalMigrantsByCountryOfOrigin_Total(thousands),InternationalMigrantsByCountryOfOrigin_AsPercentageOfTotalPopulationOfCountry/Area(%),RefugeesByCountryOfAsylumTotal(thousands),%Under18AmongTotalRefugeesByCountryOfAsylum,RefugeesByCountryOfOriginTotal(thousands),%Under18InTotalRefugeesByCountryOfOrigin,AylumSeekersByCountryOfAsylumTotal(thousands),AsylumSeekersByCountryOfOriginTotal(thousands),InternalDisplacedPersonsTotal(thousands),NumberOfKeyHumanRightsInstrumentsRatified
VAT,Holy See,1,100,-,0,23,-,-,-,-,-,-,-,2
HND,Honduras,28,0,23,649,8,0,17,7,0,0,19,174,5
HUN,Hungary,450,5,9,596,6,4,-,1,0,37,1,-,4
ISL,Iceland,38,11,16,38,12,0,-,-,-,0,0,-,3
IND,India,"5,241",0,5,"15,576",1,201,0,10,0,6,25,612,3
IDN,Indonesia,329,0,24,"3,877",2,6,21,14,0,8,3,6,4
IRN,Iran (Islamic Republic of),"2,726",3,22,"1,123",1,979,0,85,0,0,57,-,2
IRQ,Iraq,354,1,38,"1,480",4,278,40,264,34,7,237,"3,290",3
IRL,Ireland,746,16,14,882,19,6,11,0,0,5,0,-,3
ISR,Israel,"2,012",25,3,343,4,39,-,1,0,7,0,-,3
ITA,Italy,"5,789",10,8,"2,901",5,118,-,0,0,60,0,-,4
JAM,Jamaica,23,1,37,"1,067",38,0,17,2,0,0,1,-,5
JPN,Japan,"2,044",2,11,797,1,2,-,0,93,14,0,-,2
JOR,Jordan,"3,112",41,46,700,9,664,50,2,0,25,2,-,2
KAZ,Kazakhstan,"3,547",20,8,"4,076",23,1,31,2,0,0,2,-,4
KEN,Kenya,"1,084",2,43,456,1,554,57,8,0,40,3,309,4
KIR,Kiribati,3,3,26,5,4,-,-,0,-,-,0,-,3
KWT,Kuwait,"2,866",74,15,188,5,1,66,1,0,1,0,-,3
KGZ,Kyrgyzstan,204,3,10,761,13,0,36,3,0,0,2,-,5
LAO,Lao People's Democratic Republic ,22,0,15,"1,345",20,-,-,7,0,-,0,-,3
LVA,Latvia,263,13,2,338,17,0,-,0,0,0,0,-,4
LBN,Lebanon,"1,998",34,43,798,14,"1,071",53,4,0,12,6,12,3
LSO,Lesotho,7,0,31,364,17,0,16,0,0,0,1,-,5
LBR,Liberia,114,3,41,277,6,37,56,10,35,0,2,-,4
LBY,Libya,771,12,23,142,2,9,26,6,0,27,6,500,4
LIE,Liechtenstein,23,63,13,4,10,0,-,-,-,0,-,-,4
LTU,Lithuania,136,5,4,544,19,1,0,0,0,0,0,-,4
LUX,Luxembourg,249,44,9,61,11,1,-,0,-,2,-,-,4
MDG,Madagascar,32,0,17,170,1,0,-,0,0,0,0,-,5
MWI,Malawi,215,1,23,303,2,9,55,0,0,14,6,-,4
MYS,Malaysia,"2,514",8,8,"1,835",6,94,26,0,0,60,3,-,2
MDV,Maldives,94,26,17,3,1,-,-,0,0,-,0,-,1
MLI,Mali,363,2,38,"1,006",6,16,58,154,58,0,10,50,5
MLT,Malta,41,10,8,103,25,7,-,0,-,1,0,-,4
MHL,Marshall Islands,3,6,23,7,13,-,-,0,-,-,0,-,1
MRT,Mauritania,138,3,49,119,3,77,56,35,58,0,7,-,5
MUS,Mauritius,29,2,5,168,13,-,-,0,0,-,0,-,3
MEX,Mexico,"1,193",1,62,"12,339",10,3,-,11,35,1,46,287,5
FSM,Micronesia (Federated States of),3,3,22,20,19,0,-,-,-,0,0,-,2
MCO,Monaco,21,56,7,29,76,0,-,0,-,-,0,-,4
MNG,Mongolia,18,1,10,59,2,0,-,2,0,0,4,-,3
MNE,Montenegro,83,13,9,138,22,2,41,1,0,0,3,-,4
MAR,Morocco,89,0,19,"2,835",8,4,43,2,0,2,6,-,4
MOZ,Mozambique,223,1,38,714,3,6,48,0,0,15,2,-,5
MMR,Myanmar,73,0,22,"2,882",5,-,-,452,40,0,61,644,3
NAM,Namibia,94,4,14,146,6,2,45,1,30,1,0,-,4
NRU,Nauru,3,31,20,2,23,1,-,-,-,0,0,-,4
NPL,Nepal,518,2,16,"1,629",6,33,19,9,0,0,9,50,1
NLD,Netherlands,"1,979",12,7,981,6,89,-,0,0,28,0,-,4
NZL,New Zealand,"1,040",23,11,802,18,1,-,0,0,0,0,-,4
NIC,Nicaragua,40,1,35,639,11,0,30,1,0,0,1,-,5
NER,Niger,189,1,34,357,2,125,0,1,0,0,1,153,5
NGA,Nigeria,"1,199",1,31,"1,094",1,1,36,168,0,0,52,"2,096",5
NIU,Niue,1,35,42,5,333,-,-,0,-,-,0,-,1
NOR,Norway,742,14,11,193,4,50,-,0,0,25,0,-,4
OMN,Oman,"1,845",41,7,21,0,0,36,0,0,0,0,-,3
PAK,Pakistan,"3,629",2,22,"5,935",3,"1,561",50,298,58,6,64,"1,459",1
PLW,Palau,6,27,13,3,12,-,-,0,-,-,0,-,1
PAN,Panama,185,5,13,143,4,17,40,0,0,3,0,-,4
PNG,Papua New Guinea,26,0,33,5,0,10,-,0,-,0,0,6,2
PRY,Paraguay,156,2,17,845,13,0,21,0,0,0,0,-,5
PER,Peru,91,0,28,"1,410",4,1,-,4,0,0,2,60,5
PHL,Philippines,212,0,31,"5,316",5,0,8,1,0,0,2,62,5
POL,Poland,619,2,11,"4,450",12,14,-,1,3,3,0,-,4
PRT,Portugal,837,8,6,"2,306",22,1,-,0,0,1,0,-,4
QAT,Qatar,"1,688",75,13,26,1,0,26,0,0,0,0,-,2
KOR,Republic of Korea,"1,327",3,4,"2,346",5,1,17,0,0,5,0,-,4
MDA,Republic of Moldova,143,4,14,889,22,0,17,2,0,0,3,-,4
ROU,Romania,227,1,35,"3,408",17,3,27,2,0,0,1,-,4
RUS,Russian Federation,"11,643",8,5,"10,577",7,315,-,67,0,2,28,27,4
RWA,Rwanda,442,4,24,316,3,145,51,286,64,0,11,-,5
KNA,Saint Kitts and Nevis,7,13,27,39,70,-,-,0,-,-,0,-,4
LCA,Saint Lucia,13,7,26,55,30,0,-,1,-,0,0,-,2
VCT,Saint Vincent and the Grenadines,5,4,21,60,55,-,-,2,-,-,0,-,5
WSM,Samoa,5,3,43,113,59,-,-,0,-,0,0,-,2
SMR,San Marino,5,15,12,2,7,-,-,0,-,-,0,-,3
STP,Sao Tome and Principe,2,1,17,36,19,-,-,0,47,-,0,-,4
SAU,Saudi Arabia,"10,186",32,20,270,1,0,34,1,0,0,1,-,3
SEN,Senegal,263,2,27,587,4,14,55,21,0,3,14,24,5
SRB,Serbia,807,9,3,965,11,35,7,39,0,0,53,-,4
SYC,Seychelles,13,13,9,12,12,-,-,0,0,-,0,-,5
SLE,Sierra Leone,91,1,33,145,2,1,46,5,0,0,4,-,4
SGP,Singapore,"2,544",45,10,314,6,-,-,0,0,-,0,-,2
SVK,Slovakia,177,3,10,342,6,1,18,0,0,0,1,-,4
SVN,Slovenia,236,11,5,140,7,0,15,0,0,0,0,-,4
SLB,Solomon Islands,3,0,19,4,1,0,-,0,-,-,0,-,2
SOM,Somalia,25,0,36,"1,999",19,8,48,"1,123",50,10,57,"1,223",2
ZAF,South Africa,"3,143",6,14,841,2,122,-,0,0,"1,096",1,-,4
SSD,South Sudan,824,7,39,635,5,263,61,779,65,1,4,"1,697",1
ESP,Spain,"5,853",13,10,"1,251",3,6,-,0,0,11,0,-,4
LKA,Sri Lanka,39,0,38,"1,637",8,1,38,121,0,1,15,44,3
PSE,State of Palestine,256,5,20,"3,551",76,-,-,98,53,-,4,221,1
